start_timestamp,end_timestamp,cpu_request_avg_container,cpu_request_sum_container,cpu_limit_avg_container,cpu_limit_sum_container,cpu_usage_sum_container,cpu_usage_avg_container,cpu_usage_max_container,cpu_usage_min_container,cpu_throttle_sum_container,cpu_throttle_avg_container,cpu_throttle_max_container
Wed Jan  4 04:19:50 UTC 2023,Wed Jan  4 04:34:50 UTC 2023,"4","4","4","4","1.2469401787063659","1.2469401787063659","1.6241899118183332","0.602723943010248","0.04847158214618098","0.016149554818569074","0.022520244122444445"
Wed Jan  4 04:34:50 UTC 2023,Wed Jan  4 04:49:50 UTC 2023,"4","4","4","4","2.853489013645724","2.853489013645724","3.419366481603704","0.5352552446724881","0.017345384854032423","0.017345384854032423","0.01734538485403242"
