start_timestamp,end_timestamp,cpu_request_avg_container,cpu_request_sum_container,cpu_limit_avg_container,cpu_limit_sum_container,cpu_usage_sum_container,cpu_usage_avg_container,cpu_usage_max_container,cpu_usage_min_container,cpu_throttle_sum_container,cpu_throttle_avg_container,cpu_throttle_max_container	,mem_request_avg_container,mem_request_sum_container,mem_limit_avg_container,mem_limit_sum_container,mem_usage_sum_container,mem_usage_avg_container,mem_usage_max_container,mem_usage_min_container,mem_rss_sum_container,mem_rss_avg_container,mem_rss_max_container,mem_rss_min_container	,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
Wed Jan  4 10:27:23 UTC 2023,Wed Jan  4 10:42:23 UTC 2023,"4","12",,,"10.264972224904568","3.421657408301522","3.7108948330074076","2.9614119661237535","0.24568829662296604","0.08190289426678803","0.0883317396315806"	,"4096000000","12288000000",,,"5589600679.724138","931600113.2873563","2411679744","0","5437938299.586206","906323049.9310343","2395041792","0"	,"302.6663206885539","100.8857378714693","102.35619343692207","99.54132584986283"
Wed Jan  4 10:42:23 UTC 2023,Wed Jan  4 10:57:23 UTC 2023,"4","12",,,"10.898642014470528","3.6328806714901765","4.538074366899999","1.1036677187736084",,,	,"4096000000","12288000000",,,"5179618601.290322","1726539533.7634408","3177308160","458555392","5130060436.645161","1710020145.548387","3159777280","445513728"	,"314.9541843453691","104.98472811512305","105.38450938236281","104.38682840264583"
Wed Jan  4 10:57:23 UTC 2023,Wed Jan  4 11:12:24 UTC 2023,"4","12",,,"12.321946610896788","4.107315536965596","4.607463769785185","3.805702285844446",,,	,"4096000000","12288000000",,,"5130350592","1710116864","2977828864","716484608","5099910177.032258","1699970059.0107527","2959269888","702111744"	,"316.6608726693945","105.5536242231315","106.40497375176366","104.92068489175747"
Wed Jan  4 11:12:24 UTC 2023,Wed Jan  4 11:27:24 UTC 2023,"4","12",,,"12.166459108260364","4.055486369420121","4.355726485222224","3.7390373460333315",,,	,"4096000000","12288000000",,,"5360330421.67742","1786776807.2258067","3281301504","739590144","5310938343.225806","1770312781.0752687","3261861888","726134784"	,"315.91087440692365","105.30362480230791","105.54294058818051","104.96549885220246"
Wed Jan  4 11:27:24 UTC 2023,Wed Jan  4 11:42:24 UTC 2023,"4","12",,,"12.214763048257502","4.071587682752501","4.388315624685182","3.7540281873185184",,,	,"4096000000","12288000000",,,"5466644083.612904","1822214694.5376346","3280396288","813318144","5414928912.516129","1804976304.1720428","3259133952","800030720"	,"321.3285766565832","107.10952555219441","107.78557374031476","106.40178628446333"
Wed Jan  4 11:42:24 UTC 2023,Wed Jan  4 11:57:24 UTC 2023,"4","12",,,"12.469555892981976","4.156518630993991","4.557142333525924","3.8120557962777744",,,	,"4096000000","12288000000",,,"5028403133.935484","1676134377.9784946","3357949952","850948096","4976391729.548388","1658797243.1827958","3332608000","837689344"	,"317.67171611175354","105.89057203725116","107.26445502302879","105.05064537704787"
Wed Jan  4 11:57:24 UTC 2023,Wed Jan  4 12:12:25 UTC 2023,"4","12",,,"12.607459118390796","4.202486372796932","4.543997562540729","3.9231466340592713",,,	,"4096000000","12288000000",,,"5232915621.16129","1744305207.0537634","2922270720","967110656","5182958030.451613","1727652676.8172045","2900606976","949977088"	,"314.5952839210732","104.86509464035773","105.48085939731943","104.17805474584053"
Wed Jan  4 12:12:25 UTC 2023,Wed Jan  4 12:27:25 UTC 2023,"4","12",,,"13.003625436949807","4.334541812316602","4.678213705407406","4.059273159185196",,,	,"4096000000","12288000000",,,"5379394923.354838","1793131641.1182795","2955296768","1111887872","5323910771.612904","1774636923.8709679","2936569856","1090641920"	,"315.4497673490222","105.14992244967404","105.55256173403139","105.3016035555396"
Wed Jan  4 12:27:25 UTC 2023,Wed Jan  4 12:42:25 UTC 2023,"4","12",,,"12.998707538192965","4.332902512730988","4.653554793914817","4.005799853214814",,,	,"4096000000","12288000000",,,"5035787164.903226","1678595721.6344085","2873544704","1191325696","4984070936.774194","1661356978.9247313","2853240832","1176748032"	,"318.56310910140246","106.18770303380083","106.65946655702186","105.40019426851853"
