start_timestamp,end_timestamp,cpu_request_avg_container,cpu_request_sum_container,cpu_limit_avg_container,cpu_limit_sum_container,cpu_usage_sum_container,cpu_usage_avg_container,cpu_usage_max_container,cpu_usage_min_container,cpu_throttle_sum_container,cpu_throttle_avg_container,cpu_throttle_max_container
Wed Jan  4 08:40:58 UTC 2023,Wed Jan  4 08:55:58 UTC 2023,"4","16","7","28","3.255508595807894","3.255508595807894","3.5665181498000007","2.7653918645399678","0.015970470242225553","0.003992826538871615","0.015970888198856007"
Wed Jan  4 08:55:58 UTC 2023,Wed Jan  4 09:10:59 UTC 2023,"4","12","8","24","10.725100928050125","3.5750336426833753","4.326606941488889","0.4250297621258922","0.00003910838616690393","0.000013035730634713558","0.000023708238984326795"
Wed Jan  4 09:10:59 UTC 2023,Wed Jan  4 09:25:59 UTC 2023,"4","12","8","24","12.169076898111356","4.056358966037119","4.289261743585188","3.817378728351851","0.000019159475524037434","0.0000063864918413458115","0.000008553691954022976"
