,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
,"1.7611499819671284","0.587394393208191","1.7631733273796235","0"
,"323.91026859351786","107.97008953117263","110.85509617972475","106.33333333333333"
,"321.38041451445815","107.12680483815271","109.05857543399831","103.73563218390805"
,"323.3658940598893","107.78863135329642","111.11724137931036","104.82988505747127"
,"325.6176541050011","108.53921803500037","110.18620689655174","106.97701149425288"
,"321.5353374053896","107.17844580179653","109.3241379310345","105.11494252873564"
,"322.8026373458149","107.60087911527164","110.82102815041262","104.12873563218392"
,"320.66359096582175","106.8878636552739","109.45057471264369","104.64367816091955"
,"326.44277000384943","108.81425666794982","110.43218390804599","106.50344827586208"
,"325.17350947574823","108.39116982524942","110.1080459770115","107.35971637229996"
,"330.3519847962086","110.11732826540289","114.58160919540231","107.30344827586208"
,"327.09171499856217","109.0305716661874","111.34252873563219","107.33563218390805"
,"314.91447337150805","104.97149112383602","105.41102509564598","104.72183908045977"
,"321.87529929122707","107.29176643040901","108.81782802685923","105.52413793103449"
,"314.97794530024163","104.99264843341388","107.56185334621863","102.7793103448276"
,"321.36978184074053","107.12326061358017","110.49851747292443","104.96781609195402"
,"314.55389871631024","104.85129957210341","105.55183961680281","104.29171427192121"
,"318.49417928400936","106.16472642800312","107.37011494252874","104.04597701149427"
,"319.8931839336688","106.63106131122294","107.2551724137931","105.47816091954024"
,"320.72493951652143","106.90831317217379","107.85597399928002","106.07586206896552"
,"318.50155343556696","106.16718447852232","106.57701149425289","105.82988505747127"
,"317.511278176724","105.83709272557466","106.24001380890788","105.06896551724138"
,"318.1611837567239","106.05372791890797","107.33359754982733","104.60229885057471"
,"314.4672445988044","104.82241486626813","106.45804919650553","103.13793103448278"
,"316.8885189847115","105.62950632823717","106.15143693269633","105.22068965517242"
,"317.78163862704696","105.92721287568232","108.01382253509291","104.0505747126437"
,"317.8659493370701","105.95531644569002","108.99698381982869","104.22758620689656"
,"320.2298360151725","106.74327867172417","109.53098544045987","104.96091954022988"
,"316.0079112960409","105.33597043201365","107.46078485925929","104.22298850574714"
,"319.24516941123807","106.41505647041268","109.0267786066403","104.49655172413794"
,"314.43388941102603","104.81129647034203","106.082165273095","103.95172413793105"
,"315.85625605123585","105.28541868374528","106.79418708571858","103.52873563218391"
,"321.90244914279555","107.30081638093185","109.13693190141622","105.75402298850575"
,"319.6194864872425","106.53982882908085","107.35971637229996","105.5793103448276"
,"316.6818379615665","105.5606126538555","107.61976899604925","103.816091954023"
,"317.2996958690896","105.76656528969653","108.60774184610108","103.89655172413794"
,"318.5451335040573","106.18171116801908","107.99111051555148","104.25977011494253"
,"317.94766914701495","105.98255638233832","107.4051404113828","104.61379310344827"
,"317.5818678461462","105.86062261538208","108.37267244384739","103.97701149425288"
,"315.71926862806885","105.23975620935629","105.84367816091955","104.29195402298852"
,"317.8522137868825","105.95073792896082","108.16485746504337","104.37011494252874"
,"320.02064106972466","106.67354702324155","110.85282497777061","104.44367816091955"
,"318.6008749505312","106.20029165017706","108.69972552524385","103.86436781609197"
,"322.4170482997332","107.4723494332444","109.92049657559525","104.56321839080461"
,"314.5253210314593","104.84177367715311","108.86325206594206","101.79080459770115"
,"322.55580121954927","107.51860040651643","110.79718052989412","104.61171053655578"
,"319.979107530315","106.659702510105","111.29230255589712","103.87760957211904"
,"322.62583520107097","107.54194506702368","112.73451579677742","103.42925043877631"
,"323.08571247863193","107.69523749287731","114.3016451451355","103.51724137931035"
,"325.49332620911866","108.49777540303955","113.24440063548231","105.43743132076278"
,"321.9289033214054","107.30963444046847","113.43858840256145","102.86206896551725"
,"316.5908803628364","105.53029345427879","107.35858077132292","104.02540303978934"
,"315.0438748391971","105.01462494639904","109.15623711802641","102.82528735632185"
,"320.7964149955943","106.93213833186479","108.28182436568167","104.90539522761378"
,"314.9212617797989","104.97375392659961","106.69456301765486","101.64827586206897"
,"319.73830545015477","106.57943515005158","107.95176454155533","105.66666666666667"
,"316.4962658066064","105.4987552688688","106.67040657921781","103.81149425287357"
,"322.2581523813619","107.41938412712065","108.58499407912089","105.24597701149426"
,"323.85765417137037","107.95255139045679","108.97311421827173","106.54252873563219"
,"318.1842661962755","106.06142206542518","108.05811097319868","104.27566634476379"
,"323.7558796853539","107.91862656178463","111.693906390831","105.92189237159725"
,"319.36619621931754","106.4553987397725","106.57160929421264","105.50702253969786"
,"320.37337820516854","106.7911260683895","108.11781568877909","105.91107341759104"
,"319.93719126452544","106.64573042150847","107.5184332547252","105.39972193062157"
,"321.92022649528474","107.3067421650949","109.84412689397553","103.99527660856911"
,"324.4201862551103","108.14006208503676","110.24596006137497","105.78111293230064"
,"321.45514341701977","107.15171447233993","109.68698543186404","105.34417681796234"
,"323.58802007074024","107.86267335691342","111.52105078250838","104.91620349571298"
,"319.6747569577034","106.55825231923448","109.74984201670863","103.77120680634431"
,"318.38534690813844","106.12844896937949","108.2420783314842","104.37335913446483"
,"316.48976060266466","105.4965868675549","106.98042564595823","104.47213376779206"
,"318.3276923987897","106.10923079959656","108.0921790025108","104.57539815717962"
,"319.54103740459465","106.51367913486487","108.31929919792502","104.74600888747214"
,"315.94395940025913","105.31465313341971","107.81963476801376","103.12969670575374"
,"317.0582106526007","105.68607021753355","107.50507329736509","103.92887328449228"
,"315.4668040215447","105.15560134051489","106.43987958087239","104.11744303902609"
,"318.71690722757626","106.23896907585876","108.32951960671866","104.31050254962022"
,"316.6262536581718","105.5420845527239","106.45804919650553","104.43669411895195"
,"315.66625041256646","105.22208347085547","106.20140337568746","104.6472342541449"
,"322.181522514108","107.39384083803598","109.16986432975128","104.86914883724577"
,"320.89182986718","106.96394328905998","109.38617177582199","105.440526832919"
,"320.05662244144946","106.68554081381649","107.35744517034583","106.30991766555118"
,"321.2730149357809","107.09100497859365","108.62136905782594","105.31504774367312"
,"324.27538807067816","108.09179602355938","109.17703048534099","107.21740036456158"
,"321.7076262014472","107.23587540048243","108.12230544483944","105.9133141156133"
,"324.65951723940555","108.21983907980186","110.30208201212908","106.25390021499497"
,"325.0984603911734","108.36615346372447","111.03391224996271","104.49495226753037"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
