start_timestamp,end_timestamp,cpu_request_avg_container,cpu_request_sum_container,cpu_limit_avg_container,cpu_limit_sum_container,cpu_usage_sum_container,cpu_usage_avg_container,cpu_usage_max_container,cpu_usage_min_container,cpu_throttle_sum_container,cpu_throttle_avg_container,cpu_throttle_max_container	,mem_request_avg_container,mem_request_sum_container,mem_limit_avg_container,mem_limit_sum_container,mem_usage_sum_container,mem_usage_avg_container,mem_usage_max_container,mem_usage_min_container,mem_rss_sum_container,mem_rss_avg_container,mem_rss_max_container,mem_rss_min_container	,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
Tue Jan 31 10:33:54 UTC 2023,Tue Jan 31 10:48:55 UTC 2023,"4","12",,,,"49.63320507296921","74.8778260611446","21.35776969661151",,,	,"4096000000","12288000000",,,"6214667609.766233","1035777934.9610392","1562398720","0","6074493546.832901","1012197690.440404","1547296768","0"	,"304.38301007059783","50.73044961703178","73.05472870376948","28.932540000000003"
Tue Jan 31 10:48:55 UTC 2023,Tue Jan 31 11:03:55 UTC 2023,"4","12",,,,"50.23962840763333","77.86696948346665","23.343695911400086",,,	,"4096000000","12288000000",,,"3238286109.178495","1079428703.0594983","1484095488","611983360","3167526233.7376347","1055842077.912545","1469161472","601706496"	,"312.313423101985","104.10447436732832","104.2367816091954","103.93333333333334"
Tue Jan 31 11:03:55 UTC 2023,Tue Jan 31 11:18:55 UTC 2023,"4","12",,,,"50.74818214610444","77.02247505623333","26.700991368833154",,,	,"4096000000","12288000000",,,"3227984559.0709686","1075994853.0236561","1477218304","605048832","3158736860.7655916","1052912286.9218638","1462386688","579928064"	,"320.6632183908046","106.88773946360155","108.04022988505747","106.31034482758622"
Tue Jan 31 11:18:56 UTC 2023,Tue Jan 31 11:33:56 UTC 2023,"4","12",,,,"50.236982620543365","78.76942055779995","19.73884395820011",,,	,"4096000000","12288000000",,,"3317214073.6688175","1105738024.5562725","1474281472","618942464","3227807902.5548387","1075935967.5182796","1460080640","606760960"	,"317.76236602710935","105.92078867570311","106.05734935936854","105.78850574712644"
Tue Jan 31 11:33:56 UTC 2023,Tue Jan 31 11:48:56 UTC 2023,"4","12",,,,"50.38903616944444","80.71067416149987","21.666482890433205",,,	,"4096000000","12288000000",,,"3280915330.4774194","1093638443.4924731","1477353472","607334400","3219190812.6279573","1073063604.2093191","1463459840","594759680"	,"315.29001757556597","105.09667252518867","106.01839080459771","104.17471264367816"
Tue Jan 31 11:48:56 UTC 2023,Tue Jan 31 12:03:57 UTC 2023,"4","12",,,,"50.300226172287395","77.10484043323376","23.78305447336655",,,	,"4096000000","12288000000",,,"3524903171.853764","1174967723.9512546","1484234752","621555712","3455186521.1870966","1151728840.395699","1457442816","608169984"	,"322.1802886600728","107.39342955335759","111.36551724137932","104.42298850574713"
Tue Jan 31 12:03:57 UTC 2023,Tue Jan 31 12:18:57 UTC 2023,"4","12",,,,"50.97222034645445","80.93517464073278","27.294616631565926",,,	,"4096000000","12288000000",,,"3378138664.7397847","1126046221.5799282","1477804032","608632832","3306851154.0301075","1102283718.0100358","1455775744","595709952"	,"322.2446151737783","107.41487172459276","107.70898298987026","107.26206896551724"
Tue Jan 31 12:18:57 UTC 2023,Tue Jan 31 12:33:58 UTC 2023,"4","12",,,,"50.334709748310374","77.49780631236693","25.222086484132646",,,	,"4096000000","12288000000",,,"3434635404.9376345","1144878468.3125448","1508859904","611000320","3370716065.3075266","1123572021.7691755","1493655552","596910080"	,"319.3494252873563","106.44980842911878","108.28390804597701","104.9367816091954"
Tue Jan 31 12:33:58 UTC 2023,Tue Jan 31 12:48:58 UTC 2023,"4","12",,,,"37.609847641945564","65.17025274363307","2.5293474505015183",,,	,"4096000000","12288000000",,,"4898858633.634409","1632952877.8781362","5774647296","623017984","4785375866.219356","1595125288.7397852","5671198720","609566720"	,"317.7471264367816","105.91570881226055","107.61149425287357","103.64597701149427"
Tue Jan 31 12:48:58 UTC 2023,Tue Jan 31 13:03:58 UTC 2023,"4","12",,,,"6.204327018705886","10.353550224233185","2.121923625833976",,,	,"4096000000","12288000000",,,"8826690888.12043","2942230296.040143","5197037568","1535344640","8601215768.774193","2867071922.9247313","5124005888","1484001280"	,"306.1379310344828","102.04597701149426","103.45747126436783","101.22298850574714"
Tue Jan 31 13:03:58 UTC 2023,Tue Jan 31 13:18:59 UTC 2023,"4","12",,,,"6.065765600490743","10.184400859234545","2.811287512734998",,,	,"4096000000","12288000000",,,"8973284975.208601","2991094991.7362003","5477048320","1642844160","8781041487.827957","2927013829.2759852","5401493504","1587785728"	,"307.05287356321844","102.35095785440615","104.39540229885058","101.14482758620692"
Tue Jan 31 13:18:59 UTC 2023,Tue Jan 31 13:33:59 UTC 2023,"4","12",,,,"6.224253556859632","9.61255478883395","3.1105674195336177",,,	,"4096000000","12288000000",,,"9536053869.00645","3178684623.0021505","6077992960","1625178112","9338362349.28172","3112787449.7605734","5990219776","1566683136"	,"306.7310344827586","102.24367816091953","102.52183908045977","101.69885057471265"
Tue Jan 31 13:33:59 UTC 2023,Tue Jan 31 13:49:00 UTC 2023,"4","12",,,,"5.955552999140734","11.860880843466536","2.919064838666236",,,	,"4096000000","12288000000",,,"9344156669.79785","3114718889.932616","6026113024","1668669440","9151865184.344088","3050621728.114696","5955690496","1617788928"	,"305.55172413793105","101.85057471264368","103.216091954023","100.70574712643679"
Tue Jan 31 13:49:00 UTC 2023,Tue Jan 31 14:04:00 UTC 2023,"4","12",,,,"6.079740882788535","10.138519485867194","2.626344893500209",,,	,"4096000000","12288000000",,,"9211437126.468819","3070479042.156273","5911531520","1685110784","9022187625.703226","3007395875.234409","5836759040","1628299264"	,"305.0390804597701","101.67969348659004","102.13333333333334","101.41379310344827"
Tue Jan 31 14:04:00 UTC 2023,Tue Jan 31 14:19:00 UTC 2023,"4","12",,,,"5.832863903870349","10.203306416266908","2.7867585696668056",,,	,"4096000000","12288000000",,,"9080855681.926884","3026951893.9756274","5927915520","1779544064","8888450917.84946","2962816972.6164875","5848174592","1724694528"	,"305.480459770115","101.82681992337166","102.99540229885058","101.10114942528736"
Tue Jan 31 14:19:00 UTC 2023,Tue Jan 31 14:34:01 UTC 2023,"4","12",,,,"6.014643280381872","10.49133624030122","2.7768826822323414",,,	,"4096000000","12288000000",,,"9398465961.015053","3132821987.0050173","5858525184","1816760320","9205123292.215054","3068374430.7383513","5781323776","1761071104"	,"305.56781609195406","101.85593869731801","102.15172413793104","101.47586206896553"
Tue Jan 31 14:34:01 UTC 2023,Tue Jan 31 14:49:01 UTC 2023,"4","12",,,,"5.1765632962200065","9.41320308649835","1.1863585881326193",,,	,"4096000000","12288000000",,,"7895021797.023655","2631673932.341218","5826932736","1342361600","7720681903.621506","2573560634.5405016","5755031552","1305718784"	,"305.5793103448276","101.85977011494253","103.64597701149427","100.69425287356322"
Tue Jan 31 14:49:01 UTC 2023,Tue Jan 31 15:04:02 UTC 2023,"4","12",,,,"2.7193809862518505","4.011240943333056","1.343326791699898",,,	,"4096000000","12288000000",,,"4481308764.490322","1493769588.1634407","2117029888","1342521344","4371967837.04086","1457322612.3469534","2077155328","1306349568"	,"305.8137931034483","101.93793103448276","102.74022988505747","100.9264367816092"
Tue Jan 31 15:04:02 UTC 2023,Tue Jan 31 15:19:02 UTC 2023,"4","12",,,,"2.7126799364185126","4.088464334232655","1.350159484266381",,,	,"4096000000","12288000000",,,"4501948495.277419","1500649498.4258065","2117005312","1343246336","4392503128.6365595","1464167709.5455198","2078339072","1306800128"	,"306.916091954023","102.30536398467433","102.88620689655173","101.53333333333333"
Tue Jan 31 15:19:02 UTC 2023,Tue Jan 31 15:34:02 UTC 2023,"4","12",,,,"2.7279291746696392","3.9645708652678877","1.2529408072994557",,,	,"4096000000","12288000000",,,"4512976389.505377","1504325463.168459","2118291456","1344036864","4405127352.980645","1468375784.3268816","2080374784","1307668480"	,"306.4344827586207","102.1448275862069","102.57816091954024","101.32183908045977"
Tue Jan 31 15:34:02 UTC 2023,Tue Jan 31 15:49:03 UTC 2023,"4","12",,,,"2.6935962086588714","4.182798027066747","1.2374421816668473",,,	,"4096000000","12288000000",,,"4475366217.221506","1491788739.0738354","2119368704","1344892928","4369292972.868817","1456430990.9562724","2080485376","1309491200"	,"306.56436781609193","102.18812260536399","104.24597701149426","100.28390804597701"
Tue Jan 31 15:49:03 UTC 2023,Tue Jan 31 16:04:03 UTC 2023,"4","12",,,,"2.7202879482611184","4.107318553398363","1.0737259949654496",,,	,"4096000000","12288000000",,,"4520009344.825806","1506669781.608602","2130554880","1364672512","4414841285.64301","1471613761.8810034","2093322240","1331847168"	,"305.73333333333335","101.91111111111111","102.19080459770116","101.56091954022989"
Tue Jan 31 16:04:03 UTC 2023,Tue Jan 31 16:19:04 UTC 2023,"4","12",,,,"2.6939731741455573","4.036962481766628","1.2435044378992945",,,	,"4096000000","12288000000",,,"4513849379.234408","1504616459.7448027","2125488128","1364541440","4409633296.5161295","1469877765.5053766","2087350272","1331970048"	,"305.5310344827586","101.84367816091954","102.16091954022988","101.62298850574713"
Tue Jan 31 16:19:04 UTC 2023,Tue Jan 31 16:34:04 UTC 2023,"4","12",,,,"2.7115815373692507","4.278315350000048","1.339281529133829",,,	,"4096000000","12288000000",,,"4492654367.380645","1497551455.7935483","2119876608","1364856832","4387522956.387096","1462507652.1290321","2082713600","1332064256"	,"305.75517241379316","101.91839080459772","102.41264367816093","101.44597701149426"
Tue Jan 31 16:34:04 UTC 2023,Tue Jan 31 16:49:05 UTC 2023,"4","12",,,,"8.561048260332731","36.88133698596697","1.5554771940999974",,,	,"4096000000","12288000000",,,"14775991813.505375","4925330604.501792","21030932480","1365180416","14622906205.04086","4874302068.346953","20907548672","1332117504"	,"305.8298850574713","101.9432950191571","102.1057471264368","101.63908045977013"
Tue Jan 31 16:49:05 UTC 2023,Tue Jan 31 17:04:05 UTC 2023,"4","12",,,,"24.904041251217755","40.090020785065526","13.600457012866778",,,	,"4096000000","12288000000",,,"32986420446.417202","10995473482.139067","18513154048","2231803904","32732866903.535484","10910955634.511827","18425544704","2160394240"	,"307.2344827586207","102.41149425287357","102.88275862068966","101.63218390804599"
Tue Jan 31 17:04:05 UTC 2023,Tue Jan 31 17:19:05 UTC 2023,"4","12",,,,"25.29650740096703","38.67085417626659","10.640978547199241",,,	,"4096000000","12288000000",,,"34899351411.06236","11633117137.020788","19353407488","2261753856","34638949439.862366","11546316479.95412","19241103360","2182799360"	,"305.3551724137931","101.78505747126437","102.71954022988506","100.00114942528737"
Tue Jan 31 17:19:05 UTC 2023,Tue Jan 31 17:34:06 UTC 2023,"4","12",,,,"25.43389806898263","38.28967435243346","8.751601741666672",,,	,"4096000000","12288000000",,,"36147704495.07096","12049234831.690321","19457486848","2280153088","35887312270.58925","11962437423.529749","19356160000","2204925952"	,"307.81264367816095","102.60421455938697","104.51954022988505","100.91724137931035"
Tue Jan 31 17:34:06 UTC 2023,Tue Jan 31 17:49:06 UTC 2023,"4","12",,,,"25.326771806616648","41.71898582263384","11.639419017732143",,,	,"4096000000","12288000000",,,"36163661185.37634","12054553728.458782","20296744960","2194571264","35905844794.35699","11968614931.45233","20205125632","2130538496"	,"309.81264367816095","103.27088122605363","104.15402298850574","102.79540229885058"
Tue Jan 31 17:49:06 UTC 2023,Tue Jan 31 18:04:07 UTC 2023,"4","12",,,,"25.24026943079929","39.154604509197334","7.8207665806325775",,,	,"4096000000","12288000000",,,"37370996000.48172","12456998666.82724","20655919104","3129610240","37113741122.61505","12371247040.871685","20548902912","3054075904"	,"312.2862068965518","104.09540229885059","105.50114942528737","101.97701149425288"
Tue Jan 31 18:04:07 UTC 2023,Tue Jan 31 18:19:07 UTC 2023,"4","12",,,,"24.95530664358818","40.6467829529002","12.213227442197967",,,	,"4096000000","12288000000",,,"35670203350.15914","11890067783.38638","19394572288","3179085824","35410692316.21505","11803564105.405016","19283525632","3055210496"	,"305.2954022988506","101.76513409961686","102.52413793103449","100.95057471264369"
Tue Jan 31 18:19:07 UTC 2023,Tue Jan 31 18:34:07 UTC 2023,"4","12",,,,"25.210577936311495","34.888746030131976","12.974029389733914",,,	,"4096000000","12288000000",,,"35227196343.329025","11742398781.109676","20977582080","2470621184","34971919582.417206","11657306527.472403","20886048768","2348552192"	,"307.7827586206897","102.59425287356322","103.63563218390806","101.28275862068966"
Tue Jan 31 18:34:07 UTC 2023,Tue Jan 31 18:49:08 UTC 2023,"4","12",,,,"20.562973703623626","44.257633757432146","2.4641501263327275",,,	,"4096000000","12288000000",,,"27298890252.111828","9099630084.037275","19210403840","2344202240","27034644079.208603","9011548026.402868","19104329728","2271133696"	,"308.4413793103448","102.81379310344828","103.51724137931035","102.21379310344828"
Tue Jan 31 18:49:08 UTC 2023,Tue Jan 31 19:04:08 UTC 2023,"4","12",,,,"5.291320728512989","8.387290277068193","2.5546233724647514",,,	,"4096000000","12288000000",,,"11317336839.156988","3772445613.0523295","5198221312","2729324544","10632395430.262365","3544131810.0874553","5005590528","2552049664"	,"305.98390804597705","101.99463601532568","102.44827586206897","101.4712643678161"
