,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
,"5.7411111111111115","1.9137037037037037","4.07","0"
,"317.71034482758625","105.90344827586208","107.24827586206897","104.53793103448277"
,"317.3379310344828","105.77931034482759","107.0896551724138","103.58390804597703"
,"314.12643678160924","104.70881226053642","105.09885057471266","104.1080459770115"
,"318.7931034482759","106.26436781609195","107.216091954023","105.65057471264369"
,"317.50804597701153","105.8360153256705","107.23908045977012","104.99080459770116"
,"316.7080459770115","105.56934865900384","106.54942528735633","104.86896551724138"
,"314.90114942528743","104.96704980842914","106.5977011494253","104.0712643678161"
,"316.28275862068966","105.42758620689656","105.70344827586207","105.10114942528736"
,"319.17471264367816","106.39157088122606","107.65517241379311","104.91954022988507"
,"315.44827586206895","105.14942528735634","105.60459770114943","104.89195402298851"
,"316.80000000000007","105.60000000000001","106.00919540229886","105.3793103448276"
,"317.46206896551723","105.82068965517243","106.32643678160919","105.0712643678161"
,"316.7011494252874","105.56704980842912","105.91494252873564","105.04827586206898"
,"321.4896551724138","107.1632183908046","107.94022988505748","105.9816091954023"
,"311.07586206896553","103.69195402298851","104.97701149425288","101.85517241379311"
,"315.44210694400044","105.1473689813335","105.76164717388552","104.13333333333334"
,"316.20051219535515","105.40017073178505","105.89174101568445","104.59806183239712"
,"314.5461865373142","104.8487288457714","105.70114942528735","103.49561182467053"
,"313.67527610935394","104.55842536978464","104.93563218390806","104.05458645418148"
,"320.6764860134616","106.8921620044872","107.21379310344828","106.49027911690989"
,"317.31226411315146","105.77075470438385","106.43640204418593","105.25747126436782"
,"317.9348083652774","105.97826945509246","107.0505747126437","104.1600957215992"
,"317.03235510686136","105.67745170228713","106.98013360735254","104.52499505753943"
,"315.9185946330721","105.30619821102403","105.84827586206897","104.93008888594562"
,"320.60604126867656","106.86868042289218","107.54022988505747","106.41839080459772"
,"319.17436904382686","106.3914563479423","106.9604277681482","105.72477570862381"
,"314.19040062544883","104.73013354181629","105.4896551724138","104.2712643678161"
,"321.01957454426497","107.62071262025702","109.08218261747619","106.8494596017362"
,"317.72307220925813","105.90769073641937","109.03349142513322","104.2803036011774"
,"317.62727266346985","105.77044803696398","106.56087584404293","105.1895686544272"
,"320.9736019010579","106.99120063368596","112.11108484515096","102.78754037457747"
,"312.2867630370179","104.09558767900597","105.22093842673871","103.21103230078232"
,"327.0131067463545","109.0043689154515","114.36298635751007","105.31396302910372"
,"317.44689808811165","105.8156326960372","106.69755842340004","104.9547825442774"
,"320.8918044176696","106.96393480588986","115.18084113563056","102.65085779522036"
,"320.3239712824886","106.77465709416285","111.6181312802564","103.76050743222997"
,"328.1516990222581","109.38389967408602","115.68947958668086","105.48457375939621"
,"320.861492187361","106.95383072912033","112.21863835021887","103.62805962845025"
,"327.80388504785185","109.26796168261725","115.9494005572616","105.21294351774631"
,"320.7056337739009","106.90187792463361","110.55828111573318","104.78400231240037"
,"320.64226283430355","106.88075427810116","107.49524691932031","106.22762838738063"
,"321.187045054264","107.06234835142132","109.99810661017122","104.8041685946006"
,"322.1924329449549","107.3974776483183","108.90016457926971","106.01660985254517"
,"322.1281340436002","107.37604468120006","109.96225544181523","105.78335363032292"
,"320.25509463112826","106.75169821037608","110.26250897679645","104.71454067371066"
,"321.6182081501116","107.20606938337053","109.61494724836682","105.69110253817135"
,"326.8550371087066","108.95167903623553","112.65557446455719","105.86171326846384"
,"318.31536492521525","106.10512164173842","106.34800953192938","105.66191912377921"
,"319.7946020343903","106.59820067813011","107.77981556814578","104.66070352232586"
,"321.84987763428666","107.28329254476219","107.43250737469735","107.05158871091521"
,"314.4007400801107","104.80024669337026","105.59457278287428","104.102830113637"
,"313.93096283067433","104.64365427689145","104.80437571625639","104.55545111413109"
,"318.923517657215","106.30783921907167","107.36129179261367","105.63994895689905"
,"311.8045071812767","103.93483572709223","104.68765229744369","103.53369281598604"
,"313.84129310970513","104.61376436990173","104.880352327357","104.17901384639342"
,"321.3072483321822","107.10241611072739","108.22571447457311","105.92003620968003"
,"318.05129674544435","106.0170989151481","107.04476399036048","105.31952913971762"
,"320.85750778470066","106.95250259490018","107.33391666171845","106.30170936237607"
,"318.36474388186303","106.12158129395434","106.68187353724431","105.70681668438249"
,"318.1566429925534","106.05221433085111","107.06272301460183","104.08042313341451"
,"315.0835094694562","105.02783648981872","106.11273623959337","104.04560694206083"
,"313.61410898780366","104.53803632926785","105.48982218940846","103.81153937074478"
,"317.3346581528323","105.77821938427745","107.50869110745381","103.77792890041106"
,"316.71802729588296","105.57267576529429","106.24367816091954","104.76383603020011"
,"314.19453143224786","104.73151047741597","105.63994895689906","103.78850574712644"
,"315.0832415658034","105.02774718860113","106.46004443304177","103.27377184540526"
,"315.3225310337642","105.10751034458805","106.01414552661444","103.9773510243911"
,"316.17755064740527","105.39251688246841","107.95172413793105","103.71518935578813"
,"318.3448275862069","106.11494252873564","108.20689655172414","104.41149425287358"
,"318.82298850574716","106.27432950191572","106.51724137931035","105.9080459770115"
,"320.3816091954023","106.79386973180077","108.54252873563219","105.82528735632185"
,"317.3149425287356","105.77164750957854","107.53103448275863","104.81839080459771"
,"318.7287356321839","106.24291187739465","106.39310344827587","105.97701149425288"
,"317.86206896551727","105.95402298850576","106.96781609195402","105.42528735632185"
,"317.03218390804597","105.67739463601532","105.99310344827586","105.14942528735632"
,"313.7816091954023","104.59386973180077","104.97701149425288","103.86206896551725"
,"317.92873563218393","105.976245210728","106.61839080459771","105.032183908046"
,"318.82298850574716","106.27432950191573","107.03908045977013","105.73793103448277"
,"317.05287356321844","105.68429118773949","106.04597701149427","105.40229885057472"
,"320.43908045977014","106.81302681992338","108.52183908045977","105.40229885057472"
,"316.35172413793106","105.45057471264369","105.87126436781611","104.66436781609197"
,"318.1034482758621","106.0344827586207","106.92873563218392","104.73333333333333"
,"318.71954022988507","106.23984674329503","107.35172413793104","104.7977011494253"
,"318.30114942528735","106.10038314176245","107.82988505747127","104.95862068965519"
,"319.2459770114943","106.41532567049809","110.70344827586207","103.10344827586208"
,"320.90574712643684","106.96858237547895","108.94482758620691","105.88275862068964"
,"320.2068965517242","106.73563218390805","108.38620689655174","104.47816091954024"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
