start_timestamp,end_timestamp,cpu_request_avg_container,cpu_request_sum_container,cpu_limit_avg_container,cpu_limit_sum_container,cpu_usage_sum_container,cpu_usage_avg_container,cpu_usage_max_container,cpu_usage_min_container,cpu_throttle_sum_container,cpu_throttle_avg_container,cpu_throttle_max_container	,mem_request_avg_container,mem_request_sum_container,mem_limit_avg_container,mem_limit_sum_container,mem_usage_sum_container,mem_usage_avg_container,mem_usage_max_container,mem_usage_min_container,mem_rss_sum_container,mem_rss_avg_container,mem_rss_max_container,mem_rss_min_container	,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
Fri Jan 13 02:16:46 UTC 2023,Fri Jan 13 02:31:46 UTC 2023,"4","12",,,"10.759712763838328","3.5865709212794425","3.872738442718293","3.2627142527261404",,,	,"4096000000","12288000000",,,"25088354502.19355","8362784834.064516","8649498624","8146259968","19484998622.967743","6494999540.989247","6725066752","6398492672"	,"316.89829504056996","105.63276501352333","106.90206917854033","104.85287356321841"
Fri Jan 13 02:31:46 UTC 2023,Fri Jan 13 02:46:47 UTC 2023,"4","12",,,"10.792199506536374","3.5973998355121246","3.9491962113184855","3.2278826678447703",,,	,"4096000000","12288000000",,,"25185883697.548386","8395294565.8494625","8880963584","8169959424","19534372864","6511457621.333334","7144095744","6398578688"	,"316.3882883030749","105.46276276769163","107.98316130871198","103.14765572999505"
Fri Jan 13 02:46:47 UTC 2023,Fri Jan 13 03:01:47 UTC 2023,"4","12",,,"10.81823737222812","3.60607912407604","3.9227810240816323","3.238967651889349",,,	,"4096000000","12288000000",,,"25200860919.741936","8400286973.247313","9009299456","8190054400","19502806577.548386","6500935525.8494625","7062491136","6354948096"	,"313.71022870282155","104.57007623427384","105.69038293600548","103.77846645647125"
Fri Jan 13 03:01:47 UTC 2023,Fri Jan 13 03:16:47 UTC 2023,"4","12",,,"10.796440383522025","3.598813461174008","3.9447981533741023","3.2697554185589848",,,	,"4096000000","12288000000",,,"25235194388.92043","8411731462.973476","8980099072","8197218304","19490233473.92688","6496744491.30896","7005884416","6386106368"	,"318.19709453799675","106.06569817933224","108.10580621423567","104.9816091954023"
Fri Jan 13 03:16:47 UTC 2023,Fri Jan 13 03:31:48 UTC 2023,"4","12",,,"10.943169352620847","3.6477231175402824","4.774309453137081","3.2938242831586484",,,	,"4096000000","12288000000",,,"25348231960.774193","8449410653.591398","9874378752","7953063936","19593469555.612904","6531156518.537634","8017330176","6310887424"	,"319.4117509618977","106.7705114446878","107.95363568330814","105.4859902687174"
Fri Jan 13 03:31:48 UTC 2023,Fri Jan 13 03:46:48 UTC 2023,"4","12",,,"41.50272770502987","13.834242568343292","16.336402025911095","5.118896001296256",,,	,"4096000000","12288000000",,,"26497629018.83871","8832543006.27957","10783297536","7923359744","21243769096.258064","7081256365.419355","8959090688","6288076800"	,"314.10625159835286","104.70208386611762","106.22638659718302","102.32570002283849"
Fri Jan 13 03:46:48 UTC 2023,Fri Jan 13 04:01:49 UTC 2023,"4","12",,,"45.72527982789801","15.241759942632669","16.441966147310342","13.626976275892446",,,	,"4096000000","12288000000",,,"26311202749.935486","8770400916.645163","10733539328","7904059392","21055922176","7018640725.333332","8865964032","6272839680"	,"318.4422512034225","106.14741706780751","107.26396046305106","104.87622342523213"
Fri Jan 13 04:01:49 UTC 2023,Fri Jan 13 04:16:49 UTC 2023,"4","12",,,"45.949291680435245","15.316430560145083","16.554251307431066","13.917611964966206",,,	,"4096000000","12288000000",,,"26405853778.58065","8801951259.526882","10818351104","7925002240","21150756203.354843","7050252067.784947","9020751872","6273368064"	,"314.4997047995456","104.83323493318187","106.5216428512215","103.04617356645538"
Fri Jan 13 04:16:49 UTC 2023,Fri Jan 13 04:31:49 UTC 2023,"4","12",,,"45.85196657665319","15.283988858884396","16.716027213129458","13.880330166411241",,,	,"4096000000","12288000000",,,"26749109413.161293","8916369804.387096","10557935616","7938326528","21493683497.290325","7164561165.763441","8864137216","6271709184"	,"319.1510957369128","106.38369857897092","107.54855612046164","105.7161326896555"
Fri Jan 13 04:31:49 UTC 2023,Fri Jan 13 04:46:50 UTC 2023,"4","12",,,"45.64346891038704","15.214489636795683","16.091254892740917","13.77416595537819",,,	,"4096000000","12288000000",,,"26751920590.451614","8917306863.483871","10960027648","7907319808","21496455696.51613","7165485232.172043","9147977728","6286913536"	,"315.84875703579075","105.28291901193026","107.5376393661551","103.56744792163582"
Fri Jan 13 04:46:50 UTC 2023,Fri Jan 13 05:01:50 UTC 2023,"4","12",,,"46.028047731285525","15.342682577095175","16.498042627529205","14.210470913825729",,,	,"4096000000","12288000000",,,"26743592893.935482","8914530964.64516","10866462720","7906807808","21484351091.612907","7161450363.870969","9060806656","6273957888"	,"313.0549866379872","104.3516622126624","107.37902158891018","102.31480598080405"
Fri Jan 13 05:01:50 UTC 2023,Fri Jan 13 05:16:51 UTC 2023,"4","12",,,"45.511194718583006","15.170398239527668","16.36773268092139","13.705268264452377",,,	,"4096000000","12288000000",,,"26437630942.967743","8812543647.655914","10709159936","7906881536","21176084678.19355","7058694892.731183","8907677696","6284967936"	,"315.6043204642408","105.20144015474693","106.24682741477031","103.8998578264362"
Fri Jan 13 05:16:51 UTC 2023,Fri Jan 13 05:31:51 UTC 2023,"4","12",,,"45.673358123408974","15.224452707802989","16.38476717469662","14.108211044625689",,,	,"4096000000","12288000000",,,"26128601748.64516","8709533916.215054","10905886720","7924277248","20878105831.225803","6959368610.408602","9110802432","6268850176"	,"315.1117216561217","105.03724055204059","107.74861571026895","103.46193865421807"
Fri Jan 13 05:31:51 UTC 2023,Fri Jan 13 05:46:52 UTC 2023,"4","12",,,"45.80948132312392","15.269827107707975","16.802915840423534","13.7021058638744",,,	,"4096000000","12288000000",,,"26346293181.93548","8782097727.311827","11109330944","7926358016","21093353141.677418","7031117713.892472","9300520960","6267953152"	,"317.607937574535","105.86931252484501","106.81957808168777","105.33521402587334"
Fri Jan 13 05:46:52 UTC 2023,Fri Jan 13 06:01:52 UTC 2023,"4","12",,,"45.69697202705882","15.232324009019607","16.449243566659494","13.758746689448515",,,	,"4096000000","12288000000",,,"26480034056.258064","8826678018.75269","10462699520","7893950464","21224155069.935482","7074718356.645161","8856711168","6272344064"	,"317.9923785703631","105.99745952345435","107.99451731848272","104.29328944552807"
Fri Jan 13 06:01:52 UTC 2023,Fri Jan 13 06:16:53 UTC 2023,"4","12",,,"45.75365743835912","15.251219146119706","16.385299994510692","14.038181585248475",,,	,"4096000000","12288000000",,,"26671450706.58065","8890483568.860216","11069476864","7920230400","21418551626.322582","7139517208.774194","9204039680","6273003520"	,"316.02983415217903","105.34327805072633","106.66245737237831","104.04560694206083"
Fri Jan 13 06:16:53 UTC 2023,Fri Jan 13 06:31:53 UTC 2023,"4","12",,,"45.67207575655679","15.224025252185594","16.639896238339528","13.842501082492095",,,	,"4096000000","12288000000",,,"27827581985.03225","9275860661.677418","20442005504","7894016000","22563199306.32258","7521066435.440859","18596139008","6272040960"	,"319.7259855953687","106.57532853178958","108.34060123736067","105.04233278745384"
Fri Jan 13 06:31:53 UTC 2023,Fri Jan 13 06:46:54 UTC 2023,"4","12",,,"58.8919813759258","19.630660458641934","22.579569229885106","14.708062557777806",,,	,"4096000000","12288000000",,,"49613246728.258064","16537748909.419353","20973633536","13332865024","38740152584.258064","12913384194.75269","16669335552","11581104128"	,"312.70769805729554","104.23589935243186","105.35221312099058","103.17294043440414"
Fri Jan 13 06:46:54 UTC 2023,Fri Jan 13 07:01:55 UTC 2023,"4","12",,,"62.96382645058267","20.987942150194222","23.455067226195844","18.716033872931774",,,	,"4096000000","12288000000",,,"59896125162.52904","19965375054.176346","25599991808","17244631040","38870163433.978485","12956721144.659496","18276966400","11674689536"	,"316.1971630641725","105.39905435472417","106.88276396193011","103.38132535047316"
Fri Jan 13 07:01:55 UTC 2023,Fri Jan 13 07:16:56 UTC 2023,"4","12",,,"62.66000927978686","20.886669759928957","23.189179700055117","19.38448109526439",,,	,"4096000000","12288000000",,,"66093994380.38709","22031331460.129032","26789576704","19550511104","38670442231.741936","12890147410.580647","17231970304","11756019712"	,"315.58050852260016","105.19350284086673","108.49191054643984","102.78634573854326"
Fri Jan 13 07:16:56 UTC 2023,Fri Jan 13 07:31:56 UTC 2023,"4","12",,,"62.6673323642061","20.8891107880687","22.947423252296744","18.899702244723944",,,	,"4096000000","12288000000",,,"70030611224.7742","23343537074.924732","27474264064","20420927488","38734086672.51613","12911362224.172043","16456888320","11813359616"	,"317.2340135165691","105.7446711721897","106.16279294246704","105.42230882511404"
Fri Jan 13 07:31:56 UTC 2023,Fri Jan 13 07:46:57 UTC 2023,"4","12",,,"63.210395686219385","21.070131895406462","23.129834002692736","19.501739421593864",,,	,"4096000000","12288000000",,,"72072863876.12903","24024287958.709675","30467850240","20932784128","38532778446.451614","12844259482.150536","17082044416","11849404416"	,"322.0518113670583","107.35060378901943","110.23165124331273","104.96621076594906"
Fri Jan 13 07:46:57 UTC 2023,Fri Jan 13 08:01:57 UTC 2023,"4","12",,,"62.83968572269895","20.94656190756632","23.00646459557444","19.273772283185583",,,	,"4096000000","12288000000",,,"75226705787.87097","25075568595.95699","30450348032","21637287936","39164690167.74194","13054896722.580647","16738484224","11834335232"	,"314.3012592867566","104.76708642891886","105.6154332715188","103.82757322625748"
Fri Jan 13 08:01:57 UTC 2023,Fri Jan 13 08:16:58 UTC 2023,"4","12",,,"62.858107107193405","20.95270236906447","22.954827984841163","19.0751496228679",,,	,"4096000000","12288000000",,,"77386830748.90323","25795610249.63441","31479152640","22581293056","39336911905.03226","13112303968.344086","17269903360","11886514176"	,"318.48531040002365","106.16177013334122","108.2693327549339","103.51806060497218"
Fri Jan 13 08:16:58 UTC 2023,Fri Jan 13 08:31:59 UTC 2023,"4","12",,,"63.2347810329965","21.07826034433217","23.272353842153386","19.49817016051858",,,	,"4096000000","12288000000",,,"79237379237.16129","26412459745.72043","31309565952","23553687552","38974290910.96774","12991430303.655914","16597467136","11874750464"	,"315.10785912798684","105.03595304266227","105.61926644120611","104.14092198001524"
Fri Jan 13 08:31:59 UTC 2023,Fri Jan 13 08:47:00 UTC 2023,"4","12",,,"62.95521663620262","20.985072212067543","23.27530777043812","19.165990520729167",,,	,"4096000000","12288000000",,,"81264372967.2258","27088124322.4086","31554637824","24544206848","38734177180.90323","12911392393.634409","17457582080","11898515456"	,"314.2688689000491","104.7562896333497","107.2528086506326","102.646587071132"
Fri Jan 13 08:47:00 UTC 2023,Fri Jan 13 09:02:00 UTC 2023,"4","12",,,"63.035201823359145","21.011733941119715","22.94398769544147","19.184289606209372",,,	,"4096000000","12288000000",,,"83789269454.45161","27929756484.817204","32379187200","25094860800","39181303940.129036","13060434646.709679","16240906240","11889229824"	,"318.27663936138","106.09221312046","106.71923742123188","105.71696176891052"
Fri Jan 13 09:02:00 UTC 2023,Fri Jan 13 09:17:01 UTC 2023,"4","12",,,"63.067537799354014","21.022512599784672","23.12443787696668","18.949747036511287",,,	,"4096000000","12288000000",,,"85500691224.7742","28500230408.258068","34726416384","25799069696","38799280061.935486","12933093353.978495","17312673792","11902861312"	,"315.02858310902093","105.009527703007","106.40626768050785","102.92057648273695"
Fri Jan 13 09:17:01 UTC 2023,Fri Jan 13 09:32:01 UTC 2023,"4","12",,,"62.8377105681225","20.945903522707503","22.748323885107382","17.073192810641117",,,	,"4096000000","12288000000",,,"86361477648.51613","28787159216.172043","34755637248","21092593664","39043919475.61291","13014639825.204304","17204150272","11858919424"	,"316.75547341903257","105.5851578063442","107.89430650568258","103.51128583576354"
