start_timestamp,end_timestamp,cpu_request_avg_container,cpu_request_sum_container,cpu_limit_avg_container,cpu_limit_sum_container,cpu_usage_sum_container,cpu_usage_avg_container,cpu_usage_max_container,cpu_usage_min_container,cpu_throttle_sum_container,cpu_throttle_avg_container,cpu_throttle_max_container
Tue Jan 31 09:31:18 UTC 2023,Tue Jan 31 09:32:18 UTC 2023,,,,,,,,,,,
Tue Jan 31 09:32:18 UTC 2023,Tue Jan 31 09:33:19 UTC 2023,,,,,,,,,,,
Tue Jan 31 09:33:19 UTC 2023,Tue Jan 31 09:34:19 UTC 2023,,,,,,,,,,,
Tue Jan 31 09:34:19 UTC 2023,Tue Jan 31 09:35:19 UTC 2023,,,,,,,,,,,
Tue Jan 31 09:35:19 UTC 2023,Tue Jan 31 09:36:20 UTC 2023,,,,,,,,,,,
Tue Jan 31 09:36:20 UTC 2023,Tue Jan 31 09:37:20 UTC 2023,,,,,,,,,,,
Tue Jan 31 09:37:20 UTC 2023,Tue Jan 31 09:38:21 UTC 2023,,,,,,,,,,,
Tue Jan 31 09:38:21 UTC 2023,Tue Jan 31 09:39:21 UTC 2023,,,,,,,,,,,
Tue Jan 31 09:39:21 UTC 2023,Tue Jan 31 09:40:22 UTC 2023,,,,,,,,,,,
Tue Jan 31 09:40:22 UTC 2023,Tue Jan 31 09:41:22 UTC 2023,,,,,,,,,,,
Tue Jan 31 09:41:22 UTC 2023,Tue Jan 31 09:42:22 UTC 2023,,,,,,,,,,,
Tue Jan 31 09:42:23 UTC 2023,Tue Jan 31 09:43:23 UTC 2023,,,,,,,,,,,
Tue Jan 31 09:43:23 UTC 2023,Tue Jan 31 09:44:23 UTC 2023,,,,,,,,,,,
Tue Jan 31 09:44:23 UTC 2023,Tue Jan 31 09:45:24 UTC 2023,,,,,,,,,,,
Tue Jan 31 09:45:24 UTC 2023,Tue Jan 31 09:46:24 UTC 2023,,,,,,,,,,,
Tue Jan 31 09:46:24 UTC 2023,Tue Jan 31 09:47:25 UTC 2023,,,,,,,,,,,
