start_timestamp,end_timestamp,cpu_request_avg_container,cpu_request_sum_container,cpu_limit_avg_container,cpu_limit_sum_container,cpu_usage_sum_container,cpu_usage_avg_container,cpu_usage_max_container,cpu_usage_min_container,cpu_throttle_sum_container,cpu_throttle_avg_container,cpu_throttle_max_container
Wed Jan  4 10:25:50 UTC 2023,Wed Jan  4 10:40:51 UTC 2023,"4","12",,,,,,,,,
Wed Jan  4 10:40:51 UTC 2023,Wed Jan  4 10:55:51 UTC 2023,"4","12",,,"6.31521860304138","2.1050728676804598","2.639888551259259","0.2121610547973801",,,
Wed Jan  4 10:55:51 UTC 2023,Wed Jan  4 11:10:51 UTC 2023,"4","12",,,"7.371809275881358","2.457269758627119","2.6189096795592595","2.289589922396296",,,
Wed Jan  4 11:10:51 UTC 2023,Wed Jan  4 11:25:52 UTC 2023,"4","12",,,"7.344710193468826","2.4482367311562756","2.6103810806629624","2.3158858820407424",,,
Wed Jan  4 11:25:52 UTC 2023,Wed Jan  4 11:40:52 UTC 2023,"4","12",,,"7.3619822739640455","2.4539940913213485","2.630432943274075","2.315683720092592",,,
Wed Jan  4 11:40:52 UTC 2023,Wed Jan  4 11:55:52 UTC 2023,"4","12",,,"7.354061509091853","2.451353836363951","2.6012439016370386","2.2476333273888893",,,
Wed Jan  4 11:55:52 UTC 2023,Wed Jan  4 12:10:53 UTC 2023,"4","12",,,"7.377692318943209","2.4592307729810696","2.641003682899996","2.2919988458703706",,,
Wed Jan  4 12:10:53 UTC 2023,Wed Jan  4 12:25:53 UTC 2023,"4","12",,,"7.381804253961735","2.460601417987245","2.583305080129631","2.346774527940741",,,
Wed Jan  4 12:25:53 UTC 2023,Wed Jan  4 12:40:53 UTC 2023,"4","12",,,"7.383461502588396","2.461153834196132","2.5870254944296365","2.2856747131222246",,,
Wed Jan  4 12:40:53 UTC 2023,Wed Jan  4 12:55:53 UTC 2023,"4","12",,,"7.385064583600618","2.461688194533539","2.595762326574065","2.335804695488898",,,
Wed Jan  4 12:55:53 UTC 2023,Wed Jan  4 13:10:54 UTC 2023,"4","12",,,"7.396983254012097","2.465661084670699","2.655596208929624","2.287344800577773",,,
