,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
,,,,
,"229.4932630895996","76.49775436319985","101.53333333333333","40.92242068781658"
,"316.46276063113584","105.48758687704529","113.06666666666669","100.39609396446919"
,"320.2744321784087","106.75814405946957","140.76666666666668","83.46666666666667"
,"336.9781717099269","112.32605723664231","133.76454506051414","101.53333333333333"
,"329.3427379925223","109.78091266417411","131.43333333333334","94.90940465918897"
,"289.5614778209201","96.52049260697336","105.89481115425343","90.00000000000001"
,"303.9317017688355","101.31056725627852","119.46503510216888","82.93333333333334"
,"340.6263795740675","113.54212652468918","127.33333333333333","90.89304624073421"
,"324.71898654743694","108.23966218247898","111.38565321410361","103"
,"321.9614778209201","107.32049260697337","114.53333333333333","54.10586856960273"
,"326.2224277974599","108.74080926581999","117.73333333333333","98.78625071079826"
,"368.1387309848523","122.71291032828412","130.86666666666667","110.05216299956857"
,"299.13660989624793","99.71220329874932","105.88442910645306","94.45218078979491"
,"344.98442706134426","114.99480902044809","120.43609553315815","108.4"
,"343.3232255249782","114.44107517499273","125.91663072036391","101.53333333333333"
,"326.34138026819596","108.78046008939866","123.60299596094272","85.27171764058659"
,"342.1435914972743","114.04786383242477","126.3678079774091","90"
,"299.3951996039302","98.72562137246439","103.14939012432835","90"
,"298.113930925473","99.37131030849099","122.21222122212221","71.63333333333334"
,"392.1098877755773","130.70329592519244","153.8","104.27655444224395"
,"306.5609782157366","102.18699273857888","114.73333333333333","91.4453294231346"
,"310.4196925128447","103.47323083761488","132.93333333333334","60.1"
,"385.6640985130046","128.55469950433488","145.56666666666666","108.16034120822366"
,"310.76047","103.62377888888889","115.19999999999999","86.23209333333332"
,"273.79259578147196","91.2763501564455","122.1","48.81777447255274"
,"267.2570177777778","89.10872444444445","108.13333333333334","77.93333333333334"
,"259.86206333333337","86.63805","101.53333333333333","63.73333333333333"
,"341.4325881114778","113.84330270382593","144.48111477814444","85.71188666666667"
,"256.6980491490024","85.5979887866803","108.13333333333334","62.333333333333336"
,"264.29713301223296","88.12871557059209","108.93333333333334","61.07134553848204"
