,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
,"295.01990549537516","49.16791704281938","97.65984021711367","0"
,"322.3979553046966","107.46598510156554","109.86511438817713","105.43218390804599"
,"317.5824311933703","105.86081039779012","108.0887721995796","104.63218390804599"
,"321.4283609209707","107.14278697365691","108.1355470258239","106.42298850574713"
,"318.4238942433488","106.14129808111628","107.99678852043684","105.6089356403442"
,"316.1190144494205","105.3730048164735","106.33673260805377","104.51264367816093"
,"317.658717055324","105.88623901844133","106.86459434629698","104.56866352308913"
,"321.0673157949075","107.0224385983025","108.33292640964989","104.87691812088975"
,"314.7176847568693","104.90589491895645","107.2211730530973","103.69540596935516"
,"313.24926163248426","104.41642054416143","106.63747415088275","102.29006054183041"
,"315.43270425335413","105.14423475111805","107.5822941638059","103.33316871023791"
,"315.59321481186765","105.19773827062255","107.80508301346838","102.52001158626018"
,"312.4207403640379","104.14024678801263","106.85940173997571","102.31041850467962"
,"315.516172103718","105.172057367906","107.45851365730516","103.31826646028756"
,"314.1263440278267","104.70878134260892","106.31723467534871","103.51806060497218"
,"315.92653486531356","105.30884495510452","108.40787607413657","103.54937770214178"
,"317.3466366888639","105.7822122296213","107.18596942280809","104.86690813922353"
,"314.5140385998957","104.83801286663191","106.76011905640644","103.79137308854456"
,"316.6044797081163","105.53482656937209","107.5391413266772","103.08704402318061"
,"315.4178417463879","105.1392805821293","106.31496347339457","103.99397474736703"
,"317.82179380438146","105.94059793479383","107.61295539018681","103.48663231254987"
,"315.1567943703803","105.05226479012677","108.50326655621055","102.80322526073321"
,"316.7502001834302","105.5834000611434","107.10307055148189","103.86601669964767"
,"316.7862270531731","105.59540901772436","107.51302250420457","104.05801615319203"
,"312.5019048697386","104.1673016232462","105.61316206956465","102.61561963684608"
,"314.4870502339045","104.8290167446348","107.52551411495233","103.201532802719"
,"313.8860985608432","104.62869952028107","105.93567274705285","103.97511032636889"
,"318.3773903149313","106.12579677164376","108.55323299920167","103.87275133373815"
,"313.82015172043253","104.60671724014418","106.27408183822001","103.04663621863767"
,"316.5156274309883","105.50520914366277","106.50347323558836","104.95702742230759"
,"314.75358554926476","104.9178618497549","106.99178165572893","103.38336792316231"
,"318.39939886384","106.13313295461333","108.38289285264102","104.8874362033725"
,"318.6040404690188","106.20134682300626","106.89184876974667","105.81008107377008"
,"312.12977736978013","104.04325912326004","106.1332673170632","102.41110310683986"
,"313.3559190291991","104.45197300973302","106.04696164280578","102.0588898853653"
,"318.1032687247786","106.03442290825954","107.81963476801376","105.1357919018933"
,"317.14199523025303","105.71399841008434","106.28150546010461","104.70380640282329"
,"318.02627792034264","106.00875930678089","107.6491369921972","105.01504063215552"
,"315.66711960144954","105.22237320048318","106.11964010533835","103.82534515658323"
,"318.15226420956583","106.05075473652198","108.69404752035848","103.55834049423075"
,"313.8518061035434","104.61726870118115","107.47214086903","102.79650316666647"
,"319.0049271732006","106.3349757244002","108.54641939333925","104.30496036747613"
,"319.461713327173","106.48723777572434","107.90707604324822","105.74946936695565"
,"319.6832431139112","106.56108103797042","107.39310344827587","105.42708264478551"
,"317.39115586663587","105.79705195554529","108.0217717419324","104.2843266534391"
,"317.89270785165684","105.96423595055231","106.56706689030437","105.55172413793105"
,"317.28118710397376","105.76039570132458","109.29727905799673","103.56321839080461"
,"316.27487386582385","105.42495795527462","106.5282299634864","104.79540229885058"
,"320.67691621492946","106.8923054049765","109.0470311574582","104.65977011494253"
,"318.30836833235884","106.10278944411962","106.63710396454275","105.79540229885058"
,"318.05751374640704","106.01917124880235","107.57705397629212","104.67356321839081"
,"317.2032412457075","105.73441374856917","107.279103314673","104.79080459770115"
,"313.53929808200286","104.51309936066762","106.69332107050862","102.55862068965519"
,"316.89394991117894","105.63131663705965","107.23188094566167","104.55632183908047"
,"313.3275259089154","104.44250863630512","106.46957698876444","102.96781609195402"
,"316.8784951567283","105.62616505224278","106.79113883488922","104.95862068965519"
,"314.54936083282894","104.8497869442763","106.19074014317373","103.82068965517242"
,"318.4220597836484","106.14068659454946","106.9507954158323","105.18620689655174"
,"318.3791996888855","106.12639989629517","108.20218819463261","104.11724137931036"
,"314.54748091471254","104.84916030490419","105.96587171931023","103.65977011494253"
,"316.36423735492804","105.45474578497601","106.96653620550275","103.95862068965519"
,"319.5615609373462","106.52052031244872","107.2925954201048","106.09195402298852"
,"322.6326145259083","107.54420484196943","110.65100533050598","105.89885057471265"
,"316.2269501239122","105.4089833746374","107.91660529632598","103.5448275862069"
,"317.7030828233182","105.90102760777273","106.37011494252874","105.12873563218392"
,"316.23985387015944","105.41328462338647","106.0505747126437","104.44827586206897"
,"316.1549319351067","105.38497731170223","106.04597701149427","104.78620689655173"
,"316.74557326076365","105.58185775358788","108.58671319943917","104.032183908046"
,"316.0680724406649","105.3560241468883","107.41290002687178","103.36781609195403"
,"317.3765734376397","105.79219114587991","108.52599872499604","104.24367816091954"
,"316.5171259057782","105.5057086352594","106.75740857130971","104.59190124251447"
,"317.42037481094735","105.80679160364912","107.07784607531518","104.67356321839081"
,"312.07652678778055","104.02550892926018","106.72480264984951","102.32643678160919"
,"318.05701824495804","106.01900608165269","108.11448950932586","104.87586206896552"
,"314.85964141524795","104.95321380508265","107.53320463363873","103.00919540229886"
,"315.74628924647016","105.24876308215673","107.04973752233224","103.9057471264368"
,"318.07370251016357","106.02456750338786","106.57471264367817","105.05977011494252"
,"315.34425389128444","105.1147512970948","107.28448377634189","103.80689655172414"
,"313.42658003184164","104.47552667728056","105.511637503106","103.86206896551725"
,"318.43104044177187","106.1436801472573","108.30000595901323","104.57471264367817"
,"314.5828231049411","104.86094103498036","107.31845528884911","103.36781609195403"
,"314.92913147556607","104.97637715852201","106.0670625100488","104.10344827586208"
,"319.08238388157764","106.36079462719255","107.66362831947957","105.63908045977013"
,"314.3698999889931","104.7899666629977","106.19748619588964","103.216091954023"
,"318.17554326628084","106.05851442209361","108.00542832375207","105.04597701149427"
,"322.174974276797","107.39165809226566","109.11290531127975","105.3632183908046"
,"317.0384555871368","105.67948519571229","107.83881630725641","104.59080459770117"
,"312.172679820203","104.05755994006766","106.124403958134","102.81149425287357"
,"317.64210310747444","105.88070103582481","107.32969871004228","104.08711704111028"
,"318.3009181959303","106.1003060653101","109.03195267868888","103.49885057471266"
,"314.51916025652736","104.83972008550911","106.66858554388362","103.28505747126438"
,"318.3325353114828","106.11084510382759","108.64517898964367","104.09655172413794"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
